ID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
id121	-0.495742403	-0.188813459	0.141466343	0.043072801	-0.226383543	-0.037138646	-0.041504791	-0.366400693	-0.075300657	0.075520198	-0.481084142	-0.04344549	0.145487169	-0.0976388	-0.392805723	-0.622176376	0.024985385	-0.268471073	-0.203831288	-0.410513186	-0.159438248	-0.041029368	-0.168234816	0.116781833	-0.167217242	-0.505946453	0.250581203	0.06691947	-0.008384613	-0.413285176	-0.260844643	0.094272831	-0.30723507	-0.184540653	0.001335049	0.06736331	0.00749889	0.082463684	0.522515237	-0.026078549	-0.132173952	0.577757848	0.066891847	-0.205836062	-0.13343767	-0.522704619	1.315211912	0.071870826	-0.225206261	0.058350312
id122	-0.246214606	-0.313767061	1.618804567	-0.050573226	-0.017664454	-0.090831568	-0.146600866	0.152401422	0.364211744	0.012733587	-0.353017724	0.02079754	-0.028811996	0.159326039	-0.550053523	0.264386955	-0.578562853	-0.176012977	NA	-0.151933968	-0.292386384	-0.625892674	-0.100017163	0.112803224	NA	0.371267258	-0.064769489	1.272174545	0.110304668	0.119612983	0.141349668	-0.059196439	-0.477765912	0.5344393	-0.099177528	-0.141270238	0.054483655	-0.004930666	-0.052923158	0.039146061	0.221494341	-0.383058128	-0.099847467	0.309916339	0.017112309	0.032716718	-0.76375494	-0.139582591	-0.018554515	-0.079456989
id123	0.819770524	-0.116604123	0.849410734	-0.179250381	0.374554558	0.065418763	0.733976547	0.889931675	0.452665157	0.717481064	0.034818935	-0.017605872	0.813451066	-0.02968182	0.153225727	0.523224715	-0.532284957	0.58593208	0.448748605	0.162617429	0.43376016	-0.051446544	0.533776241	-0.092826044	0.185092176	0.914799723	-0.503465578	1.192967828	0.058878836	0.187588613	0.269716122	0.233296342	0.375555918	0.198958641	0.310211173	0.070001207	-1.001150906	-0.085597544	0.563251166	-0.025338084	0.63909423	-0.547183019	0.206523631	0.065133879	0.546600352	0.465249376	0.503488773	0.358546054	0.166238737	-0.010635117
id124	-0.301190423	-0.133322241	-0.410002785	0.019561262	0.034926307	-0.342513238	-0.549790293	-0.785304826	0.175623781	-0.026899211	-0.201656097	-0.191026725	-0.359332523	0.090650966	-0.515341409	0.1946236	0.29944246	-0.410986753	-0.308510712	NA	-0.288555625	0.017869943	-0.510643272	0.126472743	0.036187807	-0.028928754	-0.326321376	0.668530024	-0.117647956	-0.298700837	-0.247333174	-0.202478715	-0.683619736	-0.189549266	-0.289904383	0.001754272	-0.569875493	0.013243238	0.056372494	-0.289035787	-0.209254575	-0.359738759	0.655802579	-0.351399448	-0.202328361	-0.410080894	-0.367429794	-0.111086233	0.047965341	0.005159222
id125	-0.751748238	-0.072821553	-0.297008026	-0.005667723	NA	-0.040828661	-1.287647744	0.044939589	-0.068108294	-0.158816865	-0.134842709	-0.040531705	-0.432317297	-0.094693495	-0.209495138	-0.39920365	-0.119926681	-0.193963572	-0.221588643	-0.051894372	0.084382854	-0.335264111	0.768519208	-0.114328629	-0.583991596	-0.308383708	-0.51276758	NA	0.155489993	-0.378798725	-0.294514041	-0.367913518	0.063468598	-0.305794092	-0.34930142	-0.47935148	-0.308214575	0.009508188	0.182059151	-0.132208468	-0.236272511	-0.176349799	0.017700963	0.128504497	-0.095304499	-0.259503518	0.175218591	-0.193296328	-0.121832209	0.013111711
id126	0.43945065	0.097075617	0.06939429	-0.090984408	0.353934122	0.093933745	NA	0.099505178	-0.087173194	0.027976703	0.172743502	0.20614074	-0.139047654	0.09384391	0.231028099	0.029935603	0.237214513	0.088927829	0.367362563	0.364962546	0.237845288	-0.871131114	0.028409804	0.012639001	0.133728299	-0.04810655	NA	1.436758665	-0.105371863	0.345282301	0.299354937	-0.274782634	0.665778643	0.651235421	0.087098964	0.215131082	-0.926932091	0.012897294	0.139749794	0.01008643	0.133006244	0.875439572	0.345091336	0.088752733	0.013480169	0.426530719	-1.117831992	0.216663242	0.262169237	0.297405642
id127	-0.146054676	-0.129483175	-0.220997371	0.015479058	-0.058365216	-0.227218208	0.098525231	-0.031930012	-0.09267917	-0.062813059	-0.079881002	0.211847494	0.239659775	-0.146514983	0.129966322	-0.070238058	-0.848306102	0.074316456	0.570162657	0.015382556	0.36406799	-0.157907147	0.131462418	0.116117625	0.290897524	0.01958745	0.103420941	1.586513782	-0.045603821	0.248972505	-0.026757276	-0.182637849	-0.139743041	0.370784661	-0.162614082	0.221954642	-0.389101714	-0.065567324	0.501328666	-0.267397579	0.116596943	-0.501628568	0.637548271	-0.047750365	0.055375134	0.117576703	-0.067307542	-0.473960787	0.236017226	0.046100181
id128	0.588568584	0.191082522	1.818531276	-0.110814957	0.144871399	-0.16510703	1.353343217	0.205081505	-0.334728986	-0.139320493	0.349991526	0.118749502	-0.188035122	-0.168462017	0.069439741	0.041883351	0.2106196	0.105125416	0.49733408	0.163794025	NA	0.972372494	-0.073591023	0.035561137	0.617445853	0.394201657	0.014503765	0.114617551	0.159797032	0.678718271	0.110917893	0.237003698	0.230194254	-0.008288027	NA	0.091837621	0.562294347	0.062905396	-0.148751698	-0.012803846	-0.156378199	0.166669135	-1.183912167	0.054989098	0.26049752	0.106294797	-0.16891167	-0.197740706	0.07283804	-0.0089866
id129	-0.168315903	0.51431068	1.167356182	-0.069850527	-0.310730185	0.166497364	0.561515361	0.196497	0.570370293	0.015206669	0.306526321	0.046966582	-0.018874553	-0.162380848	0.230147832	0.124854781	0.028036873	0.399778168	-0.165619292	0.117254997	0.171487271	0.39976509	0.060006301	-0.139414116	-0.070675241	0.072338041	0.142589598	0.028309146	0.115453611	-0.023107537	-0.0462593	-0.054920569	0.274001177	0.474058047	0.164897166	-0.096270871	0.012907536	0.056985508	-0.270134261	0.179026259	0.143362628	0.20242979	0.764286093	0.007359361	0.067198101	0.201611371	-0.488013483	0.198465463	0.092260882	0.053498475
id130	-0.33575058	0.357893361	1.962137202	-0.02163893	0.012191029	-0.087371915	1.098565508	0.312443369	-0.217931775	0.563993531	0.384304436	-0.402931223	-0.03766374	-0.289877828	0.942737516	-0.525839185	-0.258384573	0.121288833	0.32441641	0.12592951	0.034126085	-0.179375323	0.475385234	0.03439506	-0.247998361	0.273200169	-0.050364949	1.191837934	0.050913754	-0.003896784	-0.261991105	-0.012818596	0.467062775	-0.15736323	0.318412074	-0.317582128	-0.658597739	0.001880406	-0.070805207	0.006606604	-0.06995771	0.442739589	0.054996407	0.204861994	0.068395332	0.016875551	-0.456218568	-0.254303984	0.134931738	0.098726669
